PROCESS_ID,COMPONENT_ID,TRANSACTION_ID,STATISTIC_NAME,STATISTIC_DURATION,CREATION_TIMESTAMP,
PROCESS_2,COMPONENT_3,1483246806760981.93,XYZ_Latency_095,0.88,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,1483246806760981.93,XYZ_Latency_054,0.15,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,1483246806760981.93,XYZ_Latency_033,0.41,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,1483246806760981.93,XYZ_Latency_078,1.76,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,1483246806760981.93,XYZ_Latency_099,0.6,2017/01/01 00:00:06.760981,
PROCESS_1,COMPONENT_2,1483246803007177.74,XYZ_Latency_058,1.42,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,1483246803007177.74,XYZ_Latency_056,0.12,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,1483246803007177.74,XYZ_Latency_006,0.81,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,1483246803007177.74,XYZ_Latency_080,1.8,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,1483246803007177.74,XYZ_Latency_024,1.84,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_1,1483246803298212.57,XYZ_Latency_007,0.48,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,1483246803298212.57,XYZ_Latency_019,1.57,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,1483246803298212.57,XYZ_Latency_057,1.44,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,1483246803298212.57,XYZ_Latency_014,0.54,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,1483246803298212.57,XYZ_Latency_097,0.15,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,1483246801040847.61,XYZ_Latency_008,0.44,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,1483246801040847.61,XYZ_Latency_051,0.17,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,1483246801040847.61,XYZ_Latency_018,1.67,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,1483246801040847.61,XYZ_Latency_089,0.32,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,1483246801040847.61,XYZ_Latency_016,1.07,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,1483246808211736.16,XYZ_Latency_085,0.22,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,1483246808211736.16,XYZ_Latency_011,0.24,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,1483246808211736.16,XYZ_Latency_094,1.39,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,1483246808211736.16,XYZ_Latency_058,0.82,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,1483246808211736.16,XYZ_Latency_019,0.55,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,1483246805805287.94,XYZ_Latency_026,1.27,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,1483246805805287.94,XYZ_Latency_034,1.07,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,1483246805805287.94,XYZ_Latency_036,1.09,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,1483246805805287.94,XYZ_Latency_097,1.88,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,1483246805805287.94,XYZ_Latency_068,1.36,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,1483246807666068.64,XYZ_Latency_085,0.78,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,1483246807666068.64,XYZ_Latency_094,1.23,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,1483246807666068.64,XYZ_Latency_093,1.73,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,1483246807666068.64,XYZ_Latency_054,1.59,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,1483246807666068.64,XYZ_Latency_068,0.66,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_4,1483246800377949.85,XYZ_Latency_029,1.51,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,1483246800377949.85,XYZ_Latency_001,0.22,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,1483246800377949.85,XYZ_Latency_039,1.91,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,1483246800377949.85,XYZ_Latency_011,1.59,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,1483246800377949.85,XYZ_Latency_014,0.79,2017/01/01 00:00:00.377949,
PROCESS_2,COMPONENT_1,1483246804083943.79,XYZ_Latency_096,1.41,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,1483246804083943.79,XYZ_Latency_057,0.78,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,1483246804083943.79,XYZ_Latency_082,0.3,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,1483246804083943.79,XYZ_Latency_030,0.82,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,1483246804083943.79,XYZ_Latency_031,1.44,2017/01/01 00:00:04.083943,
PROCESS_1,COMPONENT_3,1483246807814759.18,XYZ_Latency_056,1.75,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,1483246807814759.18,XYZ_Latency_098,1.46,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,1483246807814759.18,XYZ_Latency_098,1.93,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,1483246807814759.18,XYZ_Latency_075,0.82,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,1483246807814759.18,XYZ_Latency_029,0.97,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_2,1483246812966888.62,XYZ_Latency_056,1.28,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,1483246812966888.62,XYZ_Latency_036,1.72,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,1483246812966888.62,XYZ_Latency_097,0.49,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,1483246812966888.62,XYZ_Latency_036,0.45,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,1483246812966888.62,XYZ_Latency_031,1.84,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,1483246807480962.40,XYZ_Latency_072,1.94,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,1483246807480962.40,XYZ_Latency_047,0.69,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,1483246807480962.40,XYZ_Latency_039,1.07,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,1483246807480962.40,XYZ_Latency_004,1.85,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,1483246807480962.40,XYZ_Latency_089,1.69,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_1,1483246803353044.51,XYZ_Latency_007,1.71,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,1483246803353044.51,XYZ_Latency_029,0.93,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,1483246803353044.51,XYZ_Latency_024,1.54,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,1483246803353044.51,XYZ_Latency_057,1.9,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,1483246803353044.51,XYZ_Latency_045,0.75,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_2,1483246812427635.32,XYZ_Latency_077,0.22,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,1483246812427635.32,XYZ_Latency_081,1.5,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,1483246812427635.32,XYZ_Latency_099,1.16,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,1483246812427635.32,XYZ_Latency_089,0.84,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,1483246812427635.32,XYZ_Latency_010,1.62,2017/01/01 00:00:12.427635,
PROCESS_2,COMPONENT_2,1483246810318033.17,XYZ_Latency_016,0.71,2017/01/01 00:00:10.318033,
PROCESS_2,COMPONENT_2,1483246810318033.17,XYZ_Latency_025,0.88,2017/01/01 00:00:10.318033,
